,Rating,Review_Title,Review
12,6,On a path of destruction,"Ever since I was a kid, I loved this franchise. Even episode 1, by far the worst in the series, had that ""star-wars feel"". Mostly thanks to great casting of Liam Neeson and Ewan McGregor, awesome new dark side character and dual light saber. So despite extremely high expectations, the series wasn't ruined and effectively picked up in dark episode 3. Then Disney followed up with this one, with J.J.Abrams at helm, which once again rose the expectations. Well it's not good. Especially the casting and acting of younger stars. Even Harrison Ford and Chewy can't save this mess. It may be a blasphemy, but unfortunately Ford can't pull off ' ""the cool"". Sorry guys, he's a bit too old, so some action scenes look out of place. The casting of young stars was atrocious. Simply bad. Bad chemistry, Bad looks (ecpecially the Kylo Ren character), badly choreographed fights, Bad everything. On top of which, Abrams took the period as a remake of original which should not be touched! At all. Due to stunning (as expected) visuals, and a personal love to the universe, this movie can be watched, but if this awful trend continues, even special effects and millions of fans won't be able to save the series."
13,5,"More of a remake than a sequel, it relies on nostalgia and spectacle over actual characters and story.","In essence a remake of 'A New Hope' as opposed to a proper sequel, the check-box resemblance this long-awaited revival shares to its franchise's debut is genuinely uncanny and sadly staggering since this was the perfect opportunity to try something new considering that the 'Star Wars' moniker is a powerful enough box-office draw to recoup any budget, apparently no matter how exorbitant, and withstand more than a few bad apples (*cough* the prequels *cough*). What's here in 'Star Wars: Episode VII - The Force Awakens (2015)' is based on nothing more than nostalgia, a series of slightly sickening ""remember this thing""'s and ""this guy still looks the same but he's grey now""'s that become incredibly tiresome increasingly quickly. If you take away the franchise underlayer you're just left with a hollow, characterless piece that gives you no reason to care and very little actual information despite all its endless exposition. In the end, I was honestly bored even during all of its high-flying fanfare. 5/10"
14,,"Adieu, you scruffy-looking nerf herder","""Star Wars: The Force Awakens"" opens with the franchise's iconic receding text, a bit of Pavlovian conditioning guaranteed to bring fanboys to arousal. Director J. J Abrams then takes us to the planet Jakku, where Resistance pilot Poe Dameron (Oscar Isaac) is acquiring a map which leads to Luke Skywalker (Mark Hamil), a powerful space wizard. Unfortunately Poe is attacked by The First Order, a military group which has risen from the ashes of a fallen Galactic Empire."
15,9,The force has awakened!,"Loved the original 'Star Wars' films as a kid, still do. Especially 'Empire Strikes Back' while considering 'A New Hope' a genre landmark. Didn't think the prequel films were that bad personally, but they had a lot wrong with them and were a long way from great, especially 'Attack of the Clones'."
16,10,Star Wars is back with vengeance no matter what Negatives say.,"Too many people give this a negative because of ""rehashes of A New Hope"" Well A New Hope and Empire Strikes Back aren't even original to begin with. If we hate The Force Awakens for being unoriginal then use the same logic not only against the original trilogy itself but also Disney classics like THE LION KING. Negatives are also given because apparently Rey is a ""Mary Sue"" People don't seem to pay attention enough to The Original Trilogy if they don't think Luke resembles similar ways. "
17,10,Beyond Incredible! (Especially Compared To The Laughably Overrated Originals),"My expectations were very, very high for this movie."
18,10,A masterful weaving of the old and new,"Don't let the shrill minority fool you, Star Wars The Force Awakens is one of the greatest films ever set in a galaxy far, far away. "
19,6,A Monument to Mediocrity,"From the virtue signaling of social justice, to the cheap-jack plot-line which was easily discerned in advance, to the awful acting which evoked little but hooting from me, I was, as you can see, disappointed, and in some cases outraged. If you dare to join me, I will explain."
20,10,First Star Wars since 1980 that didn't suck!,"Don't mistake continuity of story and universe with ""reboot or rehash"" - This is a story that continues on from the end of Return of the Jedi"". We are not worried about The Force being explained anymore, we don't care - It's a mystery and back to being a mystery. It starts with a simple enough premise: The Empire was defeated and their end Death Star obliterated, but as always, in fiction as in true life, when old bad guys are killed off, new bad guys take their place."
21,6,JJ Abrams is overrated,"I was pessimistic when I learned JJ Abrams was going to be taking on Star Wars. While he was ""successful"" in the reboot of the Star Trek films, he seems incapable of directing a film without a contrived plot that is about as coherent as something written by a 5th grader."
22,10,Why are so many people DOWN on this movie???,Ten out of Ten against the negative whiny fan-boys. 
23,6,"Not too long, long ago in a galaxy not too far, far away... two guys, Larry and JJ, were sitting in an office trying to write a script...","JJ: I just can't crack the script, Larry. I can't."
24,1,"Reboot, Sequel, Prequel, Re-Imagining Rebrand. Welcome to the Modern Hollywood.","Star Wars movies used to be great. Remember that? Remember how they inspired a generation of loyal fans? Remember how they virtually saved cinema from terminal audience decline in the 70s? So scoot forward 40 years, and see the empty soulless rubbish lapped up by brainwashed Pavlovian audiences and critics. How much did Disney pay the critics for all those gushing reviews? Either that or the art of film criticism has been lost."
25,,The First Star Wars Movie that I will not Watch Again,Most of the problems have already been listed by other reviewers so I will try to be short. My biggest problem was the cast. 
26,10,"The top movie in the series (in other news, water is wet. LOL)",I saw this movie with my wife and I have to say this was even better than I ever thought possible!
27,9,An energetic space adventure,"When I came out of the theater after watching 'The Force Awakens' I never thought that I would have to defend it against haters. It seemed that the movie had taken its audience by storm: it was lauded as a triumphant return to form for the Star Wars franchise after lackluster prequel films. Now, a year later, people seem to have turned against it. It copied Episode IV, they say, it is manipulative and calculated, it is derivative to the point of repeating key plot points and characters."
28,10,A True Star Wars Movie,"I know this, among many other reviews, will just find themselves lost in translation with thousands of others. But that wont deter me from conveying how simply awesome this movie was. It was truly a Star Wars movie. To have just enough fresh material meshed so fluidly with the old stuff everyone loves is a truly amazing feat."
29,10,Star Wars The Force Awakens succeeds across the board!,"As I followed the production process of Episode 7, I was looking for evidence that they were holding to ideals hopefully wayyyyyyy better than Lucas' prequel trilogy."
30,6,Please Disney - don't do this again!!!,Why another less than superlative review? It's the movies I guess - or Hollywood. There is a good one planned shortly to make up - I promise.
31,10,"Ignore negative, neckbeardy, contrarian reviews. The Force is strong with this awesome movie!","This is a great movie. It's also an extremely popular and mainstream movie, and therefore is going to bring out raging nerds that will needlessly nitpick it to death in an attempt to look smart or edgy. "
32,6,"Nothing to see here, move along....",I cannot believe that a supposed Star Wars fan of a director would think that this story was worthy to succeed the originals chronologically. Not only was the story unoriginal but cliché as well.
33,10,"All Real Star Wars fans loved it, and clearly so did the average viewer. The inarguable facts (AKA the record-breaking box office) speaks for itself ; )","Before watching The Force Awakens, I was slightly skeptical. However, I can safely say I am now a HUGE fan of the Star Wars universe!"
34,6,Episode VIII had better be fantastic.,"A fairly long time ago, in a county not so far away (Elstree Studios are an hour's drive away from yours truly), a great adventure took place. Now, J.J. Abrams, in league with the 'House of Mouse', has returned to make a seventh chapter in the franchise, and it's almost identical in plot to the first film, but with only a fraction of the magic and charm."
35,4,"It is not a sequel, but a remake",Sad but true. When the opening credits filled the screen (Episode VII... blah blah) I was already grinding my teeth because the plot sounded idiotic. Then the huge star destroyer filled the screen. The fun bit is that the star destroyer had some sort of antenna or whatever at the front and it looked liked the ship was showing the middle finger towards the viewers. 
36,,"Didn't enjoy The Force Awaken's film, but really wanted to.",Star Wars: The Force Awakens...2015
37,10,Star Wars fans everywhere thanking god for FINALLY delivering a quality Star Wars movie!,JJ Abrams did a spectacular job of bringing back Star Wars. I still need watch it again so I can analyze the entire thing and not be completely engrossed (going to be hard to do) in the movie throughout the time I was watching it. 
38,9,Great,This movie is the perfect way to introduce Star Wars to a generation that was almost plagued with nothing but those god awful prequels.
39,10,Nothing like Original or Prequel Trilogy,"Star Wars The Force Awakens has a lack of imagination,it is anything but original and to me and my family ruined that feeling of all the other star wars films (including The Phantom Menace) if anything the only good thing about the movie is the appearance of the original cast (Mark Hamill,Carrie Fisher and Harrison Ford) and the music of John Williams,but everyhing else makes me wanna immediately go to sleep or leave the theather.I think this movie failed to bring star wars back and I hope that the sequels are at least a bit better than this movie otherwise Star Wars might be over for me.This is my opinion and if anyone agrees with me is welcome."
40,10,Best after empire,This film is great! I have seen this movie 5 times and it never got old. In my opinion it got better!! It has a great heroin in rey and villain in Kylo and great action scenes and emotional scenes! Is Star Wars at its best the second best star wars movie out there! Go see it on a big screen with the volume turned all the way up!:)
41,7,Star Wars is headed in the right direction again,"Disney taking the Star Wars reigns out of George Lucas's hands is likely the single best thing that could have happened to the franchise after the controversial prequel mess. With the prequels, Lucas managed to take Star Wars about as far away from what make it work in the first place as was possible, destroying many of the great things about the original trilogy in the process. Effectively, Star Wars was dead...Lucas wouldn't have been able to pull off any future films, even if he would have been inclined to do so."
42,9,Great continuum to Star Wars saga (No spoilers),"Star Wars: The Force Awakens steps into a big boots and fills them honorably. The Force Awakens look, feels and sounds like the real Star Wars movie. It contains all the elements that made the original story so epic. It tells an epic story with great scenery and with fine action and adventure. The Force Awakens is like a reboot of an original story, but the same time it is clearly continuation to an original saga. The story and characters are written well. Actors and actresses get through greatly at their roles. No one feels lame or factitious. The story is clearly a tribute to Han Solo, but at the same time it brings new characters well present. Maybe only one thing is not perfect. The story serves background stories of some characters almost too easily and dish out them with no big surprise which made the original movie so epic. The original story was actually a soap opera of one family. There are some elements in this story too, but they are reveled almost too easily. Greatly the story leaves enough of loose ends, so probably we will get bigger surprises of the characters later at upcoming movies."
43,6,30 years since Luke Skywalker and the gang took down the Galactic Empire a far greater threat as risen in the form of the First Order.,"The moment they announced JJ Abhrams would direct the new Star Wars I feared the worst and my fears have come true. JJ Abhrams has done to Star Wars what he did to Stat Trek,make it a commercial success and nothing else. Star Wars is supposed to be more than commercial success...it's supposed to be more than special effects....it's supposed to be more than cheesy one liners which to be honest is not even funny.....it's supposed to be something that stays with you for a long long time,that's what episode 4 did to all its viewers. 15 minutes into the movie and we are introduced to the two new additions to the Star Wars universe who are going to take this franchise forward.But I'm sad to say for the 2 hours that followed you don't feel for either one of them.Imagine saying that to Han,Liea and Luke in episode 4!!! There is nothing wrong with the casting,it's the story that lets them done.They are just thrown at your face. The movie also suffers from major plot holes. They could have done anything with episode 7 but they ended up doing what all Star Wars fans feared just another film."
44,10,Star Wars fans win again,"I don't need to pathetically hyper analyze it to love it. It was brilliant from start to finish. Unlike the godawful Lord of the Rings films, which are completely unwatchable. "
45,6,Geriatric Attempt At Reboot,"You know, what bothered me the most when I saw this movie was I just kept feeling that ""Deja vu"" like I'd seen all this before. I had! In 1977 with Episode IV! It's simply a reboot, told with a few new characters, and a few ... geriatric ones, who probably shouldn't have been in it at all, except perhaps in cameo roles or some such."
46,1,Star Wars? More like Spaceballs.,Oh how I miss the style of that awful film called 'The Phantom Menace'.
47,,Soulless collection of recycled plot elements and ideas,"As somebody who grew up with the magic of Star Wars as one of the defining movies of an entire generation it pains me to see what has become of this galaxy far, far away. The story is a carbon copy of Episode IV. I was afraid of giving spoilers but if you have seen the original Star Wars then you already know much of this movie: Main protagonist flees from a desert planet with secret plans, they find a weakness to a super weapon and a ridiculously small number of fighters manages to destroy it. What else is there to say? The main villain, Kylo Ren, is a pathetic weakling with daddy issues controlled by some unimpressive CGI ""Supreme Leader"". The new main heroine manages to master years of Jedi training within days which is just the tip of an iceberg of plot holes. Nearly every five minutes or so I was wondering:""How did they know that? Where did they come from all of a sudden? Who are those guys? Why would they do that?"" Somehow, the writers must have sensed how deep, deep in trouble they were so they went for a cheap shock moment in order to evoke some kind of emotional response from their viewers but it was too little too late. This movie has a weak and unimaginative story. Sure, the movie looks nice and I liked the acting by Daisy Ridley and John Boyega which made me give the movie my final rating but I left the theater with this slightly nauseating feeling that I had just fallen for another Disney marketing hype. They tried to play it safe by giving fans more of the same with a modern twist. Maybe I expected too much but I had higher hopes than getting ""Star Wars: The forced awakening!"""
48,10,"Yes, it really is that good.",This movie does everything right. 
49,8,The Force Awakens but with a hangover. It's acting weird!,"Well, I've waited a bit to make any comments on this film, I thought I'd let my head cool off first, digest what I saw in the movie, before I go on ranting and complaining about what was presented to us. Maybe I got this wrong, maybe I was not supposed to watch a film which would be a logical follow up to the storyline of Episode 6. On the other hand, there are some other issues here, not depending on the movie but very important when it comes to how the movie will impact the viewer and it what way. "
50,10,Real Star Wars fans got the sequel we always wanted. Therefore (as always) I win......you lose X- ),"With this absolute epic, Star Wars.....is......back! JJ Abrams achieved a small miracle in creating a movie that respects its original material, brings in a ton of new characters, makes it appealing for new viewers and sets up a story to build a new Star Wars trilogy on. Without giving away too many spoilers, the story revolves around a scavenger (Rey), a renegade stormtrooper(Finn) and a fighter pilot(Poe) in their quest to defeat an enemy with the power to endanger the galaxy. To be honest, actual great acting has never been a strong point in any of the previous Star Wars movies. This trend has thankfully been broken, as the stellar cast give great performances throughout the whole movie. The newcomers Daisy Ridley and John Boyega, playing as Rey and Finn respectively, prove themselves more than capable of carrying the load in continuing the saga. They both show great chemistry together and give us extremely likable characters, with Rey bringing the heart of the film and Finn the abundant energy. Oscar Isaacs, who plays Poe, is the veteran among the young cast and pulls of a cool and smart-ass X-wing pilot. And finally, the old cast returns to give this film a true Star Wars feel to it. Harrison Ford returns as Han Solo and has not seemed to skip a beat since 1983, as he is as cheeky and bad-ass as ever. His witty banter with Chewbacca is a pleasure to watch, but Ford also brings a strong emotional performance this time too. Carrie Fisher as Leia also returns, in a rather small role, and delivers some sweet scenes with Han and the new cast. However, the most complex character with the best arc in this movie, is the antagonist Kylo Ren. Ren, played by Adam Driver, gives us an extremely intimidating villain with a troubled past we are eager to discover. Ultimately, he serves us more than a Darth Vader wannabe. JJ Abrams alongside Lawrence Kasdan wrote a fun and entertaining screenplay with plenty of emotional plot twists and content. Each main character has its own background and motivation, which develops over the duration of the film. A pleasant surprise to see is the humor used in the movie. The comedic relief in the film was used very effectively in developing chemistry and sympathy for the characters. It is also a sign that the movie does not take itself too seriously as the prequels did. The Force Awakens is filled with exhilarating action and moves with great pace during these scenes. Yet, Abrams knows to slow it down during scenes conveying intense emotion giving the audience time to process all that is thrown at them. These combined make it easy to understand the main characters' motivations, making the emotional investment so much better. As is typical of Star Wars, the movie is full of awe inspiring visual images and astonishing sound editing, creating new sounds for laser beams, light sabers, and alien noises. The cinematography is equally impressive, showing beautiful landscape shots of new planets reminiscent of the original trilogy. The cinematographer also shows us a diverse array of shots, giving heart- pounding POV shots inside the cockpit and nice long shots of the battlefield giving it a great scope while avoiding confusion caused by the numerous explosions. John Williams makes a welcome return to the Star Wars franchise with a bombastic new score, but also with nicely timed inserts of his famous original music to bring up emotional heartwarming feeling among the old-school fans. In conclusion, The Force Awakens is a return to greatness for the Star Wars franchise. This beautiful reunion of old characters combined with the introduction of promising new characters results in an emotional, adventure trip that left me excited for what is coming next. To quote Jimmy Kimmel, this movie was probably ""the most anticipated sequel since the New Testament"". So expect this movie to be under the most intense scrutiny by reviewers as they dissect the movie to its core to find the tiniest (I.E. laughably non-existent) flaws. In the end, The Force Awakens delivers as a fantastic Star Wars film and an incredibly worthy addition to the franchise."
51,10,"All of the best parts of the Original Trilogy, with none of the cheese!","The film is easily the best written of the entire franchise; with clever, witty dialogue (for the first time in the series history). "
52,6,disappointing,"Although an enjoyable movie, there were certain parts that didn't live up to my expectations. The movie is inconsistent with previous ones in terms of how hard is to train as a Jedi, and how hard is to master the light saber . It used to take years..., remember when Luke trained with Yoda, while now people just pick the light saber and are able to fight already? These characters all looked like a bunch of amateurs as compared to the ""old"" masters. Then it's the light saber duels... which are quite boring, mostly look like some medieval heavy fights, in which you move slow because your weapons weights 30 Kilos! I also expected for the bad guy to be more of a man honoring his grandfather, but somehow, Kylo Ren looks like he just landed here from the Twilight series and gets humiliated in the final scene. By the way, no force push, no lightning? Where are the dark force features? Remember how elegant was Dooku when he dismissed both Anakin and Obi Wan in a memorable fight? As a SW fan, I can only hope that for the next movies, both good and bad guys get some serious training from their masters and give us some real fights."
53,10,Greatest movie of all time,"So, my opinion of this movie is that it is the ""greatest movie of all time."" WHY? "
54,7,Great addition to the Star Wars legacy!,Star Wars is back and in the best way possible! The new and the old cast are amazing ! I loved every second of it! One of my personal favorite movies of all time! I am very excited for the future of Star Wars.Such a phenomenal movie! The Force Awakens is definitely on my top ten.The force is very strong with this one!
55,8,"Chewie, we're home...","I really don't care what anyone has to say because I personally thought this film was nearly flawless. Sure, it's hard to say that it wasn't a clone of ""A New Hope"", but honestly, it's hard not to go back to old material. The Force Awakens was a thrilling and delectably exciting film that introduced us to fun and loveable new characters (BB8, I'm talking to you!), while simultaneously embracing the original characters. The film got us absolutely pumped for the next film which was an unfortunate misfire, but didn't matter at the time because of how good this one was."
56,6,Okie Dokie Popcorn flick,"Was the movie entertaining? Yes, moderately.."
57,3,Ghastly pile of politically correct horse manure,"And I thought Jar Jar Binks was the pits for this movie series. Jeeez, was I wrong."
58,,Star Wars the quest for more money,Horrible storyline: Thirty years after the destruction of the empire and our heroes have left the galaxy to founder. After their victory party with the meth addicted care bears our heroic foursome falls apart. They provided no stabile infrastructure and / or law leaving the society to fall apart. The first order is the new threat. Please come up with a new idea---stop ripping off the Nazis. Their massed meeting / launch of their attack was a copy of the Nuremburg rallies of the 1930s.
59,10,Is this the best Star Wars movie ever? Ummmmm Is the sky blue? Exactly.,I was absolutely sure this was going to be an epic failure after the horrible taste the prequels left us with. 
60,10,Far and way the greatest film of 2015!,"Star Wars The Force Awakens is a beautiful film. It's the Star Wars film that we've been waiting for for 30 years, the film that the prequels failed to deliver. It is full of gorgeous visuals, memorable characters, and genuinely funny lines but above all, it truly felt like how a Star Wars movie should feel. Wildly entertaining, at no point during the film did I feel removed from the action, or that I was waiting for the next scene to happen. The movie is very fast paced, with very few slow moments. That being said, the action flows together perfectly and somehow manages to never feel rushed. For me, by far the best part of The Force Awakens were the characters. And I don't mean Han, Luke, and Leia. While it was great to see the original three back in action, and Harrison Ford gave another brilliant performance as Han Solo, the ones that really stole the show were the new characters. The story centers around Rey, an independent, resourceful scavenger on the planet Jakku. Rey has clearly endured many hardships throughout her life and yet somehow, she remains hopeful about her future and maintains a strong optimistic attitude. As the movie progresses, we see Rey begin to discover her powers with the force and how to use them. But only towards the end of the film do we realize how powerful she truly is, and I am very excited to see what's in store for her in episodes 8 and 9. Part of what made Rey such a believable, effective character was the spectacular acting performance by Daisy Ridley. No other actor could have done a better job. The majority of the comic relief in this film comes from Finn, an ex storm trooper who encounters Rey in the desert after he crashes while trying to escape the First Order. It was fascinating to see a little inside the life of a storm trooper, something we never really saw in any of the previous films. Finn is equally as believable a character as Rey, and John Boyega's performance was spot on as well. Part of what made these two characters so great was the on screen chemistry between them, something that the prequels failed to deliver with Anakin and Padme."
61,10,"With the hardest job in the world, JJ Abrams... I salute thee","J.J Abrams has without a doubt constructed and delivered the best Star Wars film since Return of the Jedi. Better yet, the best Star Wars film after Empire. "
62,10,Everything we know and love about Star Wars,"I'll be honest, in the months leading up to the release of JJ Abrams sequel I was growing increasingly skeptical about his ability to do the film justice. But after finally seeing it, I was SERIOUSLY impressed! "
63,7,Star Wars became popcorn flick and that is sad,1.Lazy writing 2.blatant copy of Original trilogy
64,10,Memories Of The Past Attached To A Wonderful Film,"The Force Awakens is the illustration of an emotional moment for me. Whenever I watch it I feel ... something. An emotion that is very personal, dark, sad, yet very happy. This film was the turning point from being the optimistic, emotional mute, happy yet dumb kid to the anxious, critical, emotional yet still optimistic teen. So much of my personal thoughts and feeling where forced onto this movie. So much memories of drawing Rey, Finn, and Kylo Ren from the trailers with my friends. So much memories of countless lunches just debating what the plot will be about and who the narrator was from the trailers is. It took over my life. Now at this moment in my life I was told to be more of a man. I had a strict rule with myself that no crying, no bad thoughts, no emotional things would be allowed in this body of mine. During my first midnight premiere, dressed up and pumped up. I cried for the first time I can ever remember. It all got released and it changed me. It's one of the most important moments in my 15 years of being alive. I also gained an interest in film that has never left me to this day. Oh and the film was amazing by the way."
65,6,Nothing special except the old gang,"If you were expecting something different and better, you will be disappointed with SW7, Force Awakens."
66,10,Abrams Wins.......Again!,I was lucky enough to see The Force Awakens on its release day and I'm glad to say that it was spectacular! 
67,6,A (near) perfect synthesis of old and new. This FEELS like Star Wars!,"This movie hits every conceivable emotion, but above all, it's fun. Nowadays, we have so much dark gritty stuff which is great and deep, but it gets tiring. And, things that try to be fun come off as overly silly and dumbed down. The Force Awakens does something not many films have done successfully in a while; combine the two seamlessly into one balanced package. The prequels tried to do this, and it blew up in Lucas' face. The reason it works in this movie is that all the humour and drama comes naturally from the characters. Yes, the plot and beats are VERY similar to A New Hope, but that was a great movie. If it ain't broke, don't fix it. Besides, that's exactly what's been missing from movies lately. So don't listen to all these negative reviewers saying ""it's a remake"", or a ""rip-off"". Towards the end, it goes completely its own way becoming more like The Empire Strikes Back."
68,1,Disney Sponsored Fan Fiction. The Force Awakens Is A Disgraceful Example Of Corporate Filmmaking.,"For those praising this film, "
69,,Horrific! By all means: avoid.,"During the opening few minutes of this movie, it looked like reviewers were right: this was going to be a fantastic movie! But by the 1/2 way mark, it was apparent all the positive reviews were bogus hype."
70,10,Loved it. Grade: A+++++,The original cast is back and fits in beautifully with the new crew. The CGI are great and the movie as a whole is A MASTERPIECE.
71,10,This IS the sequel you're looking for,"Words cannot describe the perfection that is this film. JJ Abrams did a fantastic job, better than anything Lucas could. Solid cast, action, effects, everything. "
72,10,Top Two In Star Wars Movies (nothing else comes close),I have no idea why there is so much hate on this movie. This is one of my favorite movies ever! 
73,8,Action overshadows the Star Wars universe story,"Yes, the action and cgi are good. Sadly the movie drowns in it and leaves no room for the Star Wars story. As some other reviewer already pointed out, yes it is a remake of part IV. When part I came out the audience was not happy, they missed something. How is it possible that one can watch part 4 - 6 every year, part 1 - 3 every couple of years and part VII once every 10 years? Same thing with all the other movies like Star Trek: the future begins, the Tranformers trilogy, the latest Avanger movies, when does one get tired of 2 hours only action, action and more action? This movie just does not have the George Lucas touch, it is another mainstream brave Disney family action movie. Part 4 - 6 had some pretty daring scenes, Leila in exciting cloths, this movie everyone is wrapped from head to toe, so damn brave it makes you sick. I conclude to say it's another victim of Disney."
74,6,Episode J.J. - The Force is still asleep.,"SPOILER ALERT: Plot points discussed Entertaining as a stand alone movie, but a huge disappointment for a remakequel. The purpose of this film is to sell toys and to sever all connections with the previous six movies and make it Disney Wars."
75,10,Blew my mind!,"I'm a veeeeery long-term Star Wars fan, since back in '77."
76,6,"unoriginal film, lame bad guy","It was like watching episode IV again. Another death star, but this time built on a planet. And even easier to destroy. What's next, a death galaxy?"
77,10,"New director, new plot, still the Star Wars I loved","You might have read other reviews, where a lot of negative feedbacks are given, most commonly you might see ""it was a reboot of its past episodes!"" (wrong and laughably again), or even more hilariously ""it was nothing like George Lucas' Star Wars films!"". But fortunately most people by now know that when there is a change of director within a franchise you can always expect the movies to have a lot of contrary, clueless whiny trolls crying about them. Though most tend to die off and go on with their lives the first few weeks after the movie releases.......at least all the ones that actually HAVE lives do ; )"
78,6,Star Wars could have been better,"After watching the 7th film of Star Wars, I came to the conclusion that George Lucas would have done better. It was good but it could have been better. Even I could have done better."
